Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,86.12999725341797,86.30999755859375,85.5,85.94999694824219,79.93669891357422,22483800
2018-01-03,86.05999755859375,86.51000213623047,85.97000122070312,86.3499984741211,80.30874633789062,26061400
2018-01-04,86.58999633789062,87.66000366210938,86.56999969482422,87.11000061035156,81.01558685302734,21912000
2018-01-05,87.66000366210938,88.41000366210938,87.43000030517578,88.19000244140625,82.02001953125,23407100
2018-01-08,88.19999694824219,88.58000183105469,87.5999984741211,88.27999877929688,82.1037368774414,22113000
2018-01-09,88.6500015258789,88.7300033569336,87.86000061035156,88.22000122070312,82.04792785644531,19484300
2018-01-10,87.86000061035156,88.19000244140625,87.41000366210938,87.81999969482422,81.67591857910156,18652200
2018-01-11,88.12999725341797,88.12999725341797,87.23999786376953,88.08000183105469,81.917724609375,17808900
2018-01-12,88.66999816894531,89.77999877929688,88.44999694824219,89.5999984741211,83.33135223388672,24271500
2018-01-16,90.0999984741211,90.79000091552734,88.01000213623047,88.3499984741211,82.16880798339844,36599700
2018-01-17,89.08000183105469,90.27999877929688,88.75,90.13999938964844,83.8335952758789,25621200
2018-01-18,89.80000305175781,90.66999816894531,89.66000366210938,90.0999984741211,83.79639434814453,24159700
2018-01-19,90.13999938964844,90.61000061035156,89.66000366210938,90.0,83.70339965820312,36875000
2018-01-22,90.0,91.62000274658203,89.73999786376953,91.61000061035156,85.20075988769531,23601600
2018-01-23,91.9000015258789,92.30000305175781,91.54000091552734,91.9000015258789,85.470458984375,23412800
2018-01-24,92.55000305175781,93.43000030517578,91.58000183105469,91.81999969482422,85.39606475830078,33277500
2018-01-25,92.47000122070312,93.23999786376953,91.93000030517578,92.33000183105469,85.87039947509766,26383200
2018-01-26,93.12000274658203,94.05999755859375,92.58000183105469,94.05999755859375,87.47931671142578,29172200
2018-01-29,95.13999938964844,95.44999694824219,93.72000122070312,93.91999816894531,87.34912872314453,31569900
2018-01-30,93.30000305175781,93.66000366210938,92.0999984741211,92.73999786376953,86.25169372558594,38635100
2018-01-31,93.75,95.4000015258789,93.51000213623047,95.01000213623047,88.36289978027344,48756300
2018-02-01,94.79000091552734,96.06999969482422,93.58000183105469,94.26000213623047,87.66533660888672,47227900
2018-02-02,93.63999938964844,93.97000122070312,91.5,91.77999877929688,85.35883331298828,47867800
2018-02-05,90.55999755859375,93.23999786376953,88.0,88.0,81.84332275390625,51031500
2018-02-06,86.88999938964844,91.4800033569336,85.25,91.33000183105469,84.94033813476562,67998600
